State / Union Territory,Year,Rice,Wheat,Coarse cereals,Pulses,Food- grains,Oilseeds,Cotton (Lint),Sugar- cane,Raw Jute & Mesta
,2007-08,5426.6,98.8,229.7,536.8,6291.9,192.6,0.1,27.5,2.7
,2008-09,4391.8,92.5,184.4,498.6,5167.3,193.5,0.1,25.4,2.8
,2009-10,4110.4,121.9,181.8,488.7,4902.8,200.4,0.3,29.2,2.5
,2010-11,6159,126.8,231.9,537.5,7055.2,217.2,-,21.8,3.2
,2011-12,6028.4,133.1,209.9,499.1,6870.5,169.5,-,24.4,3
,2012-13,6608.8,141.3,244.7,648.7,7643.6,215,-,37.3,2.6
,2013-14,6716.4,134,263.1,484.5,7598,185.4,-,22.1,2.2
,2014-15,6322.1,135.3,267.2,738.5,7463.1,174.2,-,49.3,2.1
,2015-16,5789.4,137.4,215.5,511.9,6654.2,149.6,-,67.8,2.3
,2016-17,8048.4,159.5,357.5,758.7,9324.1,169.9,-,848,1.9
,2017-18,4930.8,130.7,347.2,550,5958.7,122.9,-,1158.5,2.1
,2018-19,6526.9,162.7,331.5,537.5,7558.6,145.9,-,1452.1,2.1
,2019-20,6774.8,115.3,370.5,241.3,7501.8,159,-,1759,1.9
,2020-21,7161.2,248.4,368.4,447.5,8225.5,121.5,8.4,1756.4,1.3
,2021-22,7897.7,188.6,423.2,387.5,8897,104.5,7.5,1990.2,0.9
6. Goa,2002-03,134.8,-,1.1,7.5,143.4,4.3,-,65.5,-
,2003-04,170.7,-,1.2,9.2,181.1,5.7,-,57.6,-
,2004-05,145.2,-,1.1,9.4,155.7,5.4,-,60.6,-
,2005-06,147.3,-,1,11.5,159.8,7.9,-,55.9,-
,2006-07,130.3,-,0.8,16.3,147.4,4.6,-,58,-
,2007-08,121.6,-,0.7,11.3,133.6,7,-,56,-
,2008-09,123.3,-,0.8,10.2,134.3,8.2,-,49.3,-
,2009-10,100.6,-,0.8,8.5,109.9,8.1,-,52.3,-
,2010-11,115,-,0.1,8,123.1,8.3,-,49.1,-
,2011-12,121.8,-,0.1,8.3,130.2,8,-,46.6,-
,2012-13,122.8,-,0.1,9,131.8,7.5,-,46,-
,2013-14,126.5,-,-,8.9,135.5,6.6,-,47.7,-
,2014-15,120.5,-,-,8.1,128.6,-,-,-,-
,2015-16,115.1,-,-,0.3,115.3,-,-,-,-
,2016-17,113.2,-,-,5.9,119.1,-,-,-,-
,2017-18,103,-,-,4.8,107.8,3.5,-,-,-
,2018-19,98.8,-,-,6.3,105.2,1,-,35.3,-
,2019-20,90.4,-,-,3.9,94.2,0.4,-,53.7,-
,2020-21,87.3,-,-,3.7,91.1,0.2,-,35.6,-
,2021-22,-,-,-,-,-,-,-,-,-
7. Gujarat,2002-03,541.7,856.6,1840.8,327.2,3566.3,1683.1,1684.6,14071.3,-
,2003-04,1277,2036.5,2635.4,622.4,6571.3,5665,4026.9,12669.1,-
,2004-05,1238.2,1805.5,1734.5,479.3,5257.5,2986.9,4724.8,14570,-
,2005-06,1298,2473,1836,547,6154,4682,6772,14580,-
,2006-07,1390,3000,1516,593,6499,2569,8787,15630,-
,2007-08,1474,3838,2151,743,8206,4725,8276,15190,-
,2008-09,1303,2593,1976,609,6481,4015.9,7013.8,15510,-
,2009-10,1292,2352,1600,517,5761,3097,7986.3,12400,-
,2010-11,1496.6,4019.5,2102.6,723,8341.6,4896.1,10400,13760,-
,2011-12,1790,4072,2232.3,780,8874.3,5035,12000,12750,-
,2012-13,1541,2944,1999,572.2,7056.2,2705,8850,12690,-
,2013-14,1636,4694,2120.6,729,9179.6,6870.4,10150,12550,-
,2014-15,1830.9,3059,1644.9,574.5,7109.3,4886.9,10500,14330,-
,2015-16,1702,2484,1549.7,543.6,6279.3,4179.1,9400,11120,-
,2016-17,1930,2737,1937,818,7422,4789.3,8575,11950,-
,2017-18,1890.9,3069,1782.2,922.6,7664.7,5860.2,10187,12072.1,-
,2018-19,1912.1,2407.4,1802.8,681.3,6803.6,3733.6,6279,11326.4,-
,2019-20,1983.1,3326.8,1786.3,1057.3,8153.4,6653.3,8617,11570,-
,2020-21,2145.7,3259.5,1759.6,1809.2,8973.9,6188.9,7212.2,16954.7,-
,2021-22,2115.4,3334.2,1918.8,2689,10057.4,6897.8,7482.5,17459.3,-
8. Haryana,2002-03,2468,9188,590,82.9,12328.9,711.7,1038,10650,-
,2003-04,2790,9114,1146,143.1,13193.1,997.8,1405,9280,-
,2004-05,3023,9058,882,146,13109,840.5,2075,8060,-
,2005-06,3210,8857,813,118.1,12998.1,825.2,1499,8180,-
,2006-07,3371,10055,1197,140,14763,834.6,1814,9580,-
,2007-08,3613,10236,1357,101.8,15307.8,642.8,1885,8860,-
,2008-09,3298,10808.2,1329.4,177.8,15613.4,932.8,1858,5130,-
,2009-10,3625,10500,1132,100,15357,877.5,1926,5335,-
,2010-11,3472,11630,1369,158.5,16629.5,963.8,1750,6042,-
,2011-12,3759,12685.7,1387,127,17958.7,771,2650,6959,-
,2012-13,3976,11117,1003,130.4,16226.4,993.1,2500,7437,-
,2013-14,3998,11800,1051,125.1,16974.1,899,2302,7499,-
,2014-15,4006,10354,819,56.1,15235.1,743.4,2300,7650,-
,2015-16,4145,11352,796,65.6,16358.6,829.7,993,6692,-
,2016-17,4453,11546.8,1087,75.9,17162.7,964.5,2041,8223,-
,2017-18,4523.4,10765.3,833.8,69.4,16191.8,1122.6,1627,9632.9,-
,2018-19,4516.1,12574,972.8,82.1,18145,1277.3,2013,8505,-
,2019-20,4824.3,11876.4,1098.4,64.4,17863.5,1175.2,2484,7730.4,-
,2020-21,4424.9,12394.4,1417.6,72.7,18309.5,1348.6,1822.9,8531.7,-
,2021-22,4618,10447.2,1158.4,105.6,16329.2,1398.7,1316.1,8748.6,-
9. Himachal Pradesh,2002-03,85.7,495.6,524.9,16.7,1122.9,8.2,0.1,49.1,-
,2003-04,120.6,498,771.8,9,1399.4,9.2,0,50,-
,2004-05,122,684,788.2,18.1,1612.3,12,0.1,61.9,-
,2005-06,112.1,679,570.7,19.6,1381.4,5.2,0,25.1,-
,2006-07,123.5,501.6,728.2,28.9,1382.2,7.1,0.1,59,-
,2007-08,121.5,504.4,896.2,36,1558.1,6.5,0.2,58.4,-
,2008-09,118.3,547.3,712.1,23.5,1401.2,5,0.1,53.1,-
,2009-10,105.9,327.1,563.5,20.7,1017.2,3.8,-,45.6,-
,2010-11,128.9,546.5,704.1,41.6,1421.1,7.7,-,38.3,-
,2011-12,131.6,595.8,752.1,30.8,1510.3,8.6,-,28.3,-
,2012-13,125.3,608.6,700.8,46.1,1480.7,6.9,-,42,-
,2013-14,120.8,670.7,685.9,51,1528.4,6.1,-,35.7,-
,2014-15,125.2,646.5,622.1,38.3,1432,6.6,-,37.6,-
,2015-16,129.9,667.6,777,40.6,1615.1,6.5,-,38.7,-
,2016-17,146.6,704.2,826.4,63.3,1740.6,6.2,-,21.1,-
,2017-18,114.8,565.7,750.3,57.5,1488.3,5.8,-,36.7,-
,2018-19,114.9,564.6,767.5,54,1501,6.1,-,33.3,-
,2019-20,143.8,563.4,767.7,55.2,1530.1,6.4,-,32,-
,2020-21,140.5,570.3,764.5,60.2,1535.5,7.8,-,22.7,-
,2021-22,140.5,570.4,768.9,60.5,1540.2,7.8,-,22.7,-
10. Jammu & Kashmir,2002-03,421,401.9,485.5,14,1322.4,26.6,-,0.6,-
,2003-04,504.2,459.4,552.7,13.3,1529.6,42.1,-,0.6,-
,2004-05,492.2,474.4,517.3,15.1,1499,124.2,-,0.5,-
,2005-06,556.8,444,467.7,13.5,1482,2.7,-,0.8,-
,2006-07,554,492.2,512.3,14.2,1572.7,42.3,-,0.8,-
,2007-08,561.3,495.9,499.5,15.4,1572.1,53.3,-,0.2,-
,2008-09,563.1,483.6,660.4,14.2,1721.3,49.6,-,0,-
,2009-10,497.4,289.9,513.3,13.6,1314.2,49.7,-,-,-
,2010-11,507.7,446.3,550.9,16.7,1521.6,53,-,-,-
,2011-12,544.7,500.3,528.1,13.2,1586.3,53.3,-,-,-
,2012-13,818.1,462.4,537.3,14.2,1831.9,51.1,-,0,-
,2013-14,610.9,601.9,551.3,13.8,1777.9,58.8,-,-,-
,2014-15,517.2,314.3,379.5,9.2,1220.3,40.4,-,2,-
,2015-16,646.4,541.5,535.4,9.4,1732.7,32.6,-,0.3,-
,2016-17,572.2,475.5,561,10.2,1618.9,28.6,-,-,-
,2017-18,513.1,487.4,559.9,10.3,1570.8,39.4,-,-,-
,2018-19,615.8,671.9,594.2,10.6,1892.5,56.3,-,-,-
,2019-20,587,488.3,551.7,44.2,1671.2,42.3,-,-,-
,2020-21,581.5,483.9,519.6,10.1,1594.9,33,-,0.1,-
,2021-22,-,-,-,-,-,-,-,-,-
11. Jharkhand,2002-03,1381,104,274.7,133.5,1893.2,8.1,-,140.6,-
,2003-04,2310,118,342,135,2905,8,-,136,6.5
,2004-05,1677,150,324.1,160,2311.1,7,-,141.6,6.3
,2005-06,1558,77.7,259.6,172.3,2067.6,8.5,-,142,6
,2006-07,2967.8,128.9,332,258.1,3686.8,50,-,142,6
,2007-08,3336.4,139.9,386.4,301.8,4164.5,68.8,-,150,6
,2008-09,3420.2,153.9,333.9,280.7,4188.7,73.2,-,348.8,-
,2009-10,1538.4,173.2,216.9,223.7,2152.2,79.5,-,447,4.8
,2010-11,1110,158.4,278.5,329.6,1876.6,113.7,-,457.3,-
,2011-12,3130.6,302.6,330.1,412,4175.3,155.5,-,457.3,0
,2012-13,3164.9,319.5,463.8,609.3,4557.5,197.2,-,461.9,0
,2013-14,2810.6,370.4,526.1,578.6,4285.7,182.9,-,462.8,0
,2014-15,3361.9,330.4,487.7,597.1,4777,177.6,-,469.8,0
,2015-16,2882.2,287.3,395.5,527,4092.1,176.5,-,708.9,0
,2016-17,3841.8,425.2,590.8,806.5,5664.4,264,-,512.9,0
,2017-18,4078,468.7,617.9,836.7,6001.3,297,-,574.8,0
,2018-19,2893.9,302.6,468,735.2,4399.7,228.4,-,-,-
,2019-20,3012.8,439.4,525.1,814.9,4792.3,288.5,-,-,-
,2020-21,2752.9,544,669.5,905.4,4871.7,404.9,-,-,-
,2021-22,2927.6,507.2,651.5,898,4984.2,398.2,-,-,-
12. Karnataka,2002-03,2390.1,147.7,3433.2,693.6,6664.6,1073.8,330.9,32485.3,4.2
,2003-04,2550.3,96.2,3346.4,569.2,6562.1,934.1,264.6,16015.4,6.1
,2004-05,3547,179,5977,792,10495,1570,688,14276,2.9
,2005-06,5744,217,6564,964,13489,1715,554,18267,2.7
,2006-07,3446,205,5055,893,9599,1125,610,28669.7,1
,2007-08,3717,261,6943,1265,12186,1549,778,26240,1
,2008-09,3802,247,6254,972,11275,1212,866,23328,1
,2009-10,3691,251,5895,1118,10955,1005,868.2,30443,1
,2010-11,4188,279,7845.3,1565,13877.3,1270,1200,39657,1
,2011-12,3955,193,6813,1134.1,12095.1,942,1200,38808,1
,2012-13,3364,179,6061,1259.3,10863.3,919.6,1255,35732,0
,2013-14,3572.6,210,6825.8,1600.5,12208.9,1162,1875,37905,-
,2014-15,3541,261,6946,1390,12138,959,2311,43776,0
,2015-16,3021,156,5608.2,1138.8,9924,749.7,2000,37833.8,-
,2016-17,2604.8,171,5281,1737.9,9794.7,805.8,1010,27378,0.1
,2017-18,3017.1,230.2,6592.6,1951.2,11791.2,970.7,1844,31135.2,0
,2018-19,3431,163.6,5519.9,1773.9,10888.4,782.6,1400,42408,-
,2019-20,3634.5,179.7,6813.6,2155.9,12783.7,1039.7,2330,38181,-
,2020-21,4291.7,262.1,7931.2,2065,14550.1,1249.1,2320.1,42528,-
,2021-22,4333.4,211.5,7296.6,1967.9,13809.4,1173.6,1950,61152,-
13. Kerala,2002-03,688.9,-,4,6.8,699.7,1.4,5.5,312.8,-
,2003-04,570,-,4,5,579,2.3,4.7,291,-
,2004-05,667.1,-,0.9,2.9,670.9,1.9,4.4,283,-
,2005-06,629.9,-,1.5,6.9,638.3,2.6,3.5,916.5,-
,2006-07,631,-,1.1,8.4,640.5,3.2,2,440,-
,2007-08,528.5,-,2.8,8.4,539.7,2.4,1.7,218,-
,2008-09,590.3,-,1.7,6.3,598.3,1.6,1.5,275.5,-
,2009-10,598.3,-,2.2,10.3,610.8,1.2,1.3,285,-
,2010-11,522.7,-,1.4,3,527.1,2.1,-,271.8,-
,2011-12,569,-,0.6,2.5,572.1,2.3,-,263,-
,2012-13,508.3,-,0.3,3.2,511.8,1.1,-,165.7,-
,2013-14,509.2,-,0.3,2.8,512.4,1,-,221.5,-
,2014-15,562.1,-,0.3,1.4,563.8,0.8,-,148.5,-
,2015-16,549.3,-,0.3,4.3,553.8,0.7,-,138.1,-
,2016-17,437.1,-,0.2,1.7,439,0.6,-,113.1,-
,2017-18,521.3,-,0.4,2,523.8,0.5,-,115.1,-
,2018-19,578.3,-,0.6,2.3,581.2,0.4,-,106.3,-
,2019-20,605.6,-,0.7,2.2,608.4,0.2,-,120.8,-
,2020-21,633.8,-,0.7,1.9,636.4,0.3,0,106.7,-
,2021-22,630,-,0.8,1.5,632.2,0.3,0,119,-
14. Madhya Pradesh,2002-03,1031.8,4923.4,2418.1,2375.5,10748.8,3143.9,390.1,1563,1.1
,2003-04,1750.3,7364.6,3353.8,3488,15956.7,5623.6,639,1873.7,1.8
,2004-05,1169,7176.6,2330,3429.2,14104.8,4797.7,626.1,2148,1.4
,2005-06,1656.3,5957.7,2348.4,3232.6,13195,5721.9,745.1,2425,1.2
,2006-07,1368.4,7325.9,1849.6,3203.1,13747,5814.2,828.6,2806,1.8
,2007-08,1461.9,6032.5,2122.5,2453.6,12070.5,6352,864.8,3180,1.8
,2008-09,1559.7,6521.9,2149.9,3683.1,13914.6,6976.9,856.1,2975,1.3
,2009-10,1260.6,8410,2041.2,4304.6,16016.4,7636.2,855.3,2535,1.4
,2010-11,1772.1,7627.1,2166.6,3386.2,14952.1,8035.4,2000,2667,3.4
,2011-12,2227.3,11538.5,2467.1,4161.9,20394.8,7727.8,2000,2677,2.1
,2012-13,2775,13133.4,2616.2,5165.9,23690.4,9276,2200,2641.9,1.8
,2013-14,2844.8,12937,2551.8,4644.3,22978,6634.9,1730,3173.7,2.5
,2014-15,3625.3,17103.9,3129.5,4828.3,28687,7724.2,1750,4567,8.6
,2015-16,3546.7,17688.7,3848.8,5302.4,30386.5,6171,1800,5281,6
,2016-17,4226.8,17939.3,4766.9,6291.3,33224.4,8224,2050.7,4730,7
,2017-18,4123.9,15910.8,5304.1,8111.6,33450.4,6949,1620,5430,11
,2018-19,4494.7,16521.4,5147.2,6045.4,32208.7,8294.3,2329,5281.7,-
,2019-20,4778.1,19607.1,5029.4,4108.4,33523.1,6451.7,1646,7433.8,2.2
,2020-21,4413.8,18182.1,4953.7,5294.7,32844.2,6332.4,1338.6,5440.7,-
,2021-22,4814.9,22418.5,5787.9,6032.5,39053.8,7923.8,1419.8,5379.1,-
15. Maharashtra,2002-03,1854,984,5938,2058.1,10834.1,2356,2596,42617,30
,2003-04,2835,778,4750,1960,10323,2921,3080,25668,27
,2004-05,2164,1016,5696.7,1664,10540.7,2744.1,2939,20475,35.5
,2005-06,2695,1300,6087,2005,12087,3373,3160,38853,36
,2006-07,2569,1631.1,6141,2304,12645.1,3721,4618,78568,33
,2007-08,2996,2078.7,7093,3024,15191.7,4874,7015,88437,33
,2008-09,2284,1516,5971.6,1656,11427.6,3409.7,4752,60648,26
,2009-10,2183,1740,6293.3,2370,12586.3,2814,5859.3,64159,26
,2010-11,2696,2301,7323.6,3099.8,15420.4,5040,8500,81895.7,28
,2011-12,2841,1313,6122,2268,12544,4485,7200,86733.1,19
,2012-13,3057,1181,4429.3,2306,10973.3,5086.8,7655,69648.1,31
,2013-14,3120,1602,5955.2,3169,13846.2,5293.9,8834,76901,35
,2014-15,2946,1308,5004.9,2053,11311.9,2850.2,7000,84699,-
,2015-16,2593,981,3635.7,1544.7,8754.4,2436.1,7500,73679.6,-
,2016-17,3109.5,1875.1,6579,3768.1,15331.6,5113.5,10618.8,52262.5,-
,2017-18,2730.8,1696.8,5471.3,3347.8,13246.7,4206.4,6094,82984,-
,2018-19,3275.7,1249.2,3096.7,2682.5,10304.1,4885,6593,89768.2,-
,2019-20,2897.6,1793.7,4392.6,3736,12819.9,5177,6639,69311.9,-
,2020-21,3291.7,2071.1,6082.1,4321.2,15766.1,6718.3,10105.1,105137.6,-
,2021-22,3631.5,2473.7,5839.6,5192.4,17137.2,5897.4,7117.6,110537.3,-
16. Manipur,2002-03,332.6,-,8.5,2.6,343.7,0.4,-,20.6,-
,2003-04,381.2,-,7.5,3.2,391.9,0.4,-,22,-
,2004-05,435.9,-,8.9,3,447.8,0.8,-,21.8,-
,2005-06,386.1,-,7.9,4.5,398.5,0.7,-,23,-
,2006-07,386.1,-,7.9,4.5,398.5,0.7,-,23,-
,2007-08,406.2,-,8.4,7.2,421.8,0.9,-,16.8,-
,2008-09,397,-,11.5,6.5,415,0.7,-,21.3,-
,2009-10,319.9,-,11.7,7.2,338.9,0.7,-,21.3,-
,2010-11,521.7,5.3,41.5,24.2,592.7,26.7,-,301.3,-
,2011-12,591,5.4,45.9,26.9,669.1,28.3,-,333,-
,2012-13,257.6,6,44.7,28.4,336.7,32.1,-,311.7,-
,2013-14,398.5,5.6,58.6,29.9,492.6,31,-,339.3,-
,2014-15,334.1,5.6,58.8,30.8,429.3,31.7,-,339.3,-
,2015-16,338.8,5.6,61.6,29.8,435.7,31.8,-,348,-
,2016-17,430.4,5.6,58.8,30.3,525.1,32.3,-,348,-
,2017-18,607.8,5.6,63.1,30,706.5,32.8,-,348,-
,2018-19,401.6,5.7,58.2,29.5,495,32.2,-,315.1,-
,2019-20,385.5,5.8,4.9,25.2,421.4,27.4,-,-,-
,2020-21,602.2,5.8,59.7,29.4,697.1,32.6,-,279.4,-
,2021-22,-,-,-,-,-,-,-,-,-
17. Meghalaya,2002-03,190.9,4.7,28.2,3.3,227.1,6.5,7.8,0.2,56.4
,2003-04,200.7,1.5,28.1,3.5,233.8,6.4,7.8,0.2,56.2
,2004-05,193.7,1.6,26.3,3.6,225.2,6.5,7.8,0.2,39.2
,2005-06,151.9,1.2,26.4,3.6,183.1,6.7,7.8,0.2,55.7
,2006-07,200.2,1.2,27.2,2.9,231.5,6.6,7.7,0.2,55.1
,2007-08,200,1.1,27.4,3.3,231.8,6.7,6.5,0.3,54.9
,2008-09,203.9,0.7,27.8,3.9,236.3,7.1,5.6,0.3,54.6
,2009-10,206.7,0.7,28.2,3.6,239.2,7,5.5,0.2,53.1
,2010-11,207,0.7,27.6,3.7,239,7.1,-,0.2,52.6
,2011-12,216.5,0.6,28.3,3.7,249.1,7.6,-,0.2,50.4
,2012-13,232,0.7,28.7,3.7,265,6.9,-,0.2,53.2
,2013-14,273.9,0.8,42.1,3.2,320,14.1,-,0.3,89.9
,2014-15,298.2,0.8,43.4,11.3,353.8,14.9,-,0.3,92.5
,2015-16,301.1,0.9,44,11.7,357.7,15.2,-,0.4,94.5
,2016-17,203,0.9,44.4,11.8,260.1,15,-,0.4,94.7
,2017-18,304.6,0.9,44.4,11.9,361.8,15.1,-,0.4,94.8
,2018-19,202,0.9,44.4,13.4,260.7,15.1,-,0.4,94.9
,2019-20,303.4,0.9,44.5,12,360.8,15.1,-,0.4,95
,2020-21,295.8,0.9,44.5,12,353.3,15.2,8.6,0.4,95
,2021-22,-,-,-,-,-,-,-,-,-
18. Mizoram,2002-03,109.2,-,14.9,5,129.1,5.1,1,7.4,-
,2003-04,114.6,-,20.3,4.5,139.4,5.4,1.3,3.6,-
,2004-05,104.1,-,15.7,4.8,124.6,5.6,1.3,5.7,-
,2005-06,99.2,-,22.7,7.9,129.8,5.4,0.2,4.6,-
,2006-07,29.5,-,21,5.8,56.3,3.8,5.2,4.6,-
,2007-08,15.7,-,0.7,2.7,19.1,0.8,0.6,0.8,-
,2008-09,46,-,9.3,3.6,58.9,2.5,0.1,13.7,-
,2009-10,44.3,-,11.5,6.5,62.3,3,0.8,12.4,-
,2010-11,47.2,-,13.6,6.1,66.9,3.8,-,7.9,-
,2011-12,54.3,-,8.4,5.3,68,2.4,-,7.5,-
,2012-13,30.5,-,8,3.3,41.8,2.2,-,6.8,-
,2013-14,59,-,8.2,5.7,72.8,2.4,-,7,-
,2014-15,60.7,-,8.6,6,75.3,2.4,-,44.3,-
,2015-16,62.1,-,10.3,5,77.4,3,-,51.3,-
,2016-17,61.5,-,8.9,4.8,75.2,2.5,-,50.5,-
,2017-18,59.6,-,9.5,5.1,74.2,2.4,-,44.8,-
,2018-19,60,-,11,5.9,76.9,2.8,-,44.3,-
,2019-20,60,-,11,5.5,76.5,2.8,-,44.3,-
,2020-21,62.2,-,12.6,5.9,80.7,2.9,0,43,-
,2021-22,-,-,-,-,-,-,-,-,-
19. Nagaland,2002-03,225,17,118,28,388,74,5,80,5.5
